h_pos,v_pos
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
2.35,-0.76
